SEP=;
Adriano;Ornelas Avelar;1;Adriano@afonso.com;123456;2021-04-01;
Matilde;Sampaio Canedo;2;Matilde@afonso.com;123456;2021-04-01;
Alexia;Caldas Ximenes;2;Alexia@afonso.com;123456;2021-04-01;
Florinda;Frazão Bugalho;2;Florinda@afonso.com;123456;2021-04-01;
Maximus;Freitas Mendes;1;Maximus@afonso.com;123456;2021-04-01;
Aaron;Canário Pequeno;2;Aaron@afonso.com;123456;2021-04-01;
Nikolas;Tavares Lobo;2;Nikolas@afonso.com;123456;2021-04-01;
Rui;Lindim Tinoco;2;Rui@afonso.com;123456;2021-04-01;
Valentim;Luz Bulhões;1;Valentim@afonso.com;123456;2021-04-01;
Cláudio;Faia Prates;2;Cláudio@afonso.com;123456;2021-04-01;
Nicholas;Ninharelhos Martinho;2;Nicholas@afonso.com;123456;2021-04-01;
Carminho;Queirós Lousada;2;Carminho@afonso.com;123456;2021-04-01;
Isaac;Almeida Boga;1;Isaac@afonso.com;123456;2021-04-01;
Luana;Sales Ferreira;2;Luana@afonso.com;123456;2021-04-01;
Tobias;Lustosa Granjeiro;2;Tobias@afonso.com;123456;2021-04-01;
Miria;Barroca França;2;Miria@afonso.com;123456;2021-04-01;
Jun;Águeda Prudente;1;Jun@afonso.com;123456;2021-04-01;
Giorgi;Melgaço Peralta;2;Giorgi@afonso.com;123456;2021-04-01;
Amora;Tomé Grande;2;Amora@afonso.com;123456;2021-04-01;
Djayson;Conceição Ferreira;2;Djayson@afonso.com;123456;2021-04-01;
Jan;Roriz Torquato;1;Jan@afonso.com;123456;2021-04-01;
Mustafa;Sampaio Faleiro;2;Mustafa@afonso.com;123456;2021-04-01;
Cael;Gadelha Marçal;2;Cael@afonso.com;123456;2021-04-01;
Malak;Raminhos Anes;2;Malak@afonso.com;123456;2021-04-01;
Jasmeen;Foquiço Pimentel;1;Jasmeen@afonso.com;123456;2021-04-01;
Cidália;Maia Camelo;2;Cidália@afonso.com;123456;2021-04-01;
Melinda;Casado Igrejas;2;Melinda@afonso.com;123456;2021-04-01;
Beatriz;Lima Vilanova;2;Beatriz@afonso.com;123456;2021-04-01;
Ionut;Valadim Casado;1;Ionut@afonso.com;123456;2021-04-01;
